region_clean,n_wines,lat_mean,lon_mean
morey saint denis les milandes,8,47.2038,4.9513
morey saint denis les ruchots,2,47.2031,4.9501
morey saint denis monts luisants,3,47.236725,4.751545
morey saint denis premier cru,26,47.205,4.950999999999997
morgon,89,46.1676,4.6705
moulin a vent,68,46.1998,4.7223
muscat de beaumes de venice,1,44.1231,5.0213
musigny,14,47.1777,4.9614
northern rhne,2,45.23,4.82234
nuits saint georges,83,47.136199999999945,4.948300000000004
nuits saint georges aux argillas,4,47.1337,4.95489
nuits saint georges aux boudots,2,47.1546,4.9446
nuits saint georges aux bousselots,6,47.15485999999999,4.943640000000001
nuits saint georges aux champs perdrix,1,47.139,4.951
nuits saint georges aux cras,1,47.158505,4.766939
nuits saint georges aux murgers,12,47.13779999999999,4.9517999999999995
nuits saint georges aux perdrix,2,47.1342,4.9463
nuits saint georges aux thorey,7,47.1384,4.948900000000001
nuits saint georges clos des argillieres,2,47.1368,4.9523
nuits saint georges clos des corvees,7,47.1338,4.9438410000000007
nuits saint georges clos des porrets saint georges,7,47.1379,4.9502999999999995
nuits saint georges la richemone,2,47.1351,4.950407
nuits saint georges les chaboeufs,1,47.1405,4.9505
nuits saint georges les crots,1,47.1398,4.951
nuits saint georges les damodes,9,47.153000000000006,4.942999999999999
nuits saint georges les hauts pruliers,1,47.1325,4.9464
nuits saint georges les perrieres,3,47.11729,4.950832
nuits saint georges les poulettes,4,47.1525,4.944
nuits saint georges les pruliers,6,47.132,4.945999999999999
nuits saint georges les saints georges,2,47.137,4.9509
nuits saint georges les vaucrains,5,47.1398,4.95
nuits saint georges premier cru,35,47.13599999999998,4.950999999999996
nuits saint georges rue de chaux,5,47.1381,4.9504
palette,3,43.5278,5.4432
pauillac,236,45.191720268700344,-0.7539020556638387
pays dherault,64,43.56667000000002,3.416670000000003
pernand vergelesses,8,47.0573,4.8458
pernand vergelesses ile des vergelesses,4,47.0575,4.8625
pernand vergelesses les fichots,3,47.058,4.863
pernand vergelesses premier cru,9,47.06193958871009,4.847139445349094
pessac leognan,282,44.80321000000003,-0.5943200000000016
pezenas,15,43.466670000000015,3.416669999999999
pic saint loup,120,43.8000000000001,3.850000000000008
pomerol,183,44.9333645153018,-0.20521169980285275
pommard,83,46.96660348942171,4.793099273975613
pommard 1er cru les epenots,2,46.2387,4.7075 
