Winery,Wine,year,vintage_rating,vintage_rating_count,wine_rating_count,wine_rating,region,price,cepages,latitude,longitude,dept,station,altitude,GDD,TM_summer,TX_summer,temp_amp_summer,hot_days,rainy_days_summer,rain_June,rain_SepOct,frost_days_Apr,avg_TM_Apr,dist_km
Domaine de l'Edre,Carrément Mourvèdre 2022,2022.0,3.6,133,133,3.6,cotes-catalanes,11.5,shiraz-syrah,42.625,2.5,66,66074002,321,2158.1,24.672580645161286,32.37096774193549,16.077419354838707,11.0,1.0,10.6,33.400000000000006,3.0,12.336666666666666,4.428144082308414
Château du Champ des Treilles,Le Petit Champ Bordeaux 2018,2018.0,3.7,76,754,3.5,bordeaux,11.5,cabernet-sauvignon,44.83779,-0.57918,33,33550001,25,2027.15,23.29032258064516,29.58548387096774,12.038709677419357,6.0,3.0,55.0,85.5,0.0,14.22,5.317701561530501
Domaine du Rochouard,Saint-Nicolas-de-Bourgueil 2023,2023.0,3.7,195,195,3.7,saint-nicolas-de-bourgueil,11.5,cabernet-franc,47.3,0.1,37,37242002,33,1749.5,20.290322580645157,26.54193548387096,11.991935483870968,0.0,3.0,116.7,202.79999999999998,1.0,11.44,8.930154037550334
Baron Briare,Le Grand Arpent Bourgueil 2022,2022.0,3.8,174,174,3.8,bourgueil,11.5,cabernet-franc,47.28333,0.15,37,37242002,33,1845.8000000000002,22.8758064516129,30.2,15.130645161290321,7.0,0.0,91.7,134.3,3.0,12.01,6.2638125010028185
Les Athlètes du Vin,Pineau d'Aunis 2023,2023.0,3.8,25,1011,3.8,touraine,11.5,cabernet-sauvignon,47.3,0.7,37,37122001,93,1730.3,20.177419354838705,26.572580645161292,12.093548387096773,2.0,3.0,34.699999999999996,169.99999999999997,1.0,10.940000000000001,4.071821539557167
La Coume-Lumet,La Camin de Lumet Limoux 2019,2019.0,3.9,65,159,3.9,limoux,11.5,shiraz-syrah,42.51848,3.22594,66,66148001,72,2187.8,25.006451612903223,28.427419354838705,6.3838709677419345,0.0,1.0,13.3,264.19999999999993,0.0,13.513333333333332,7.566954497474972
Domaine Les Grands Bois,Cuvée Philippine Côtes du Rhône Villages 2022,2022.0,3.7,584,584,3.7,cotes-de-rhone-villages,11.5,shiraz-syrah,44.25,4.63333,84,84064001,46,2491.05,26.45806451612904,35.03548387096774,16.440322580645162,34.0,1.0,16.4,324.0,0.0,13.426666666666668,8.084706772366594
Domaine Cheveau,Le Bouteau 2014,2014.0,3.9,78,78,3.9,beaujolais,11.5,gamay,46.1,4.7,69,69211001,240,1618.2499999999998,19.293442622950817,24.725806451612907,10.040322580645162,0.0,6.0,59.0,120.5,0.0,12.876666666666667,1.9752103946875819
Château Toulouse-Lautrec,L'Esprit de Malrome Bordeaux Supérieur 2018,2018.0,3.9,93,93,3.9,bordeaux-superieur,11.5,cabernet-sauvignon,44.83333,-0.56667,33,33550001,25,2027.15,23.29032258064516,29.58548387096774,12.038709677419357,6.0,3.0,55.0,85.5,0.0,14.22,4.8821884797068025
Domaine Combe Blanche,Why Not Pinot Noir 2022,2022.0,3.5,59,59,3.5,pays-dherault,11.5,shiraz-syrah,43.56667,3.41667,34,34319001,122,2560.9000000000005,26.817741935483873,34.28709677419355,14.403225806451614,23.0,3.0,29.500000000000004,74.70000000000002,0.0,13.973333333333333,9.709139396092093
